Total Hours;1488.00
Total Site Energy;      493.67
Net Site Energy;      493.67
Total Source Energy;     1563.46
Net Source Energy;     1563.46
Site Heating Electricity [GJ];        0.00
Site Heating Natural Gas [GJ];        0.00
Site Heating Gasoline [GJ];        0.00
Site Heating Diesel [GJ];        0.00
Site Heating Coal [GJ];        0.00
Site Heating Fuel Oil No 1 [GJ];        0.00
Site Heating Fuel Oil No 2 [GJ];        0.00
Site Heating Propane [GJ];        0.00
Site Heating Other Fuel 1 [GJ];        0.00
Site Heating Other Fuel 2 [GJ];        0.00
Site Heating District Cooling [GJ];        0.00
Site Heating District Heating [GJ];        0.00
Site Heating Water [m3];        0.00
Site Cooling Electricity [GJ];       67.51
Site Cooling Natural Gas [GJ];        0.00
Site Cooling Gasoline [GJ];        0.00
Site Cooling Diesel [GJ];        0.00
Site Cooling Coal [GJ];        0.00
Site Cooling Fuel Oil No 1 [GJ];        0.00
Site Cooling Fuel Oil No 2 [GJ];        0.00
Site Cooling Propane [GJ];        0.00
Site Cooling Other Fuel 1 [GJ];        0.00
Site Cooling Other Fuel 2 [GJ];        0.00
Site Cooling District Cooling [GJ];        0.00
Site Cooling District Heating [GJ];        0.00
Site Cooling Water [m3];        0.00
Site Interior Lighting Electricity [GJ];        0.00
Site Interior Lighting Natural Gas [GJ];        0.00
Site Interior Lighting Gasoline [GJ];        0.00
Site Interior Lighting Diesel [GJ];        0.00
Site Interior Lighting Coal [GJ];        0.00
Site Interior Lighting Fuel Oil No 1 [GJ];        0.00
Site Interior Lighting Fuel Oil No 2 [GJ];        0.00
Site Interior Lighting Propane [GJ];        0.00
Site Interior Lighting Other Fuel 1 [GJ];        0.00
Site Interior Lighting Other Fuel 2 [GJ];        0.00
Site Interior Lighting District Cooling [GJ];        0.00
Site Interior Lighting District Heating [GJ];        0.00
Site Interior Lighting Water [m3];        0.00
Site Exterior Lighting Electricity [GJ];        0.00
Site Exterior Lighting Natural Gas [GJ];        0.00
Site Exterior Lighting Gasoline [GJ];        0.00
Site Exterior Lighting Diesel [GJ];        0.00
Site Exterior Lighting Coal [GJ];        0.00
Site Exterior Lighting Fuel Oil No 1 [GJ];        0.00
Site Exterior Lighting Fuel Oil No 2 [GJ];        0.00
Site Exterior Lighting Propane [GJ];        0.00
Site Exterior Lighting Other Fuel 1 [GJ];        0.00
Site Exterior Lighting Other Fuel 2 [GJ];        0.00
Site Exterior Lighting District Cooling [GJ];        0.00
Site Exterior Lighting District Heating [GJ];        0.00
Site Exterior Lighting Water [m3];        0.00
Site Interior Equipment Electricity [GJ];      403.50
Site Interior Equipment Natural Gas [GJ];        0.00
Site Interior Equipment Gasoline [GJ];        0.00
Site Interior Equipment Diesel [GJ];        0.00
Site Interior Equipment Coal [GJ];        0.00
Site Interior Equipment Fuel Oil No 1 [GJ];        0.00
Site Interior Equipment Fuel Oil No 2 [GJ];        0.00
Site Interior Equipment Propane [GJ];        0.00
Site Interior Equipment Other Fuel 1 [GJ];        0.00
Site Interior Equipment Other Fuel 2 [GJ];        0.00
Site Interior Equipment District Cooling [GJ];        0.00
Site Interior Equipment District Heating [GJ];        0.00
Site Interior Equipment Water [m3];        0.00
Site Exterior Equipment Electricity [GJ];        0.00
Site Exterior Equipment Natural Gas [GJ];        0.00
Site Exterior Equipment Gasoline [GJ];        0.00
